SimNum,P,Q,time,I
10,0.0,0.999,0,2
10,0.0,0.999,1,4
10,0.0,0.999,2,10
10,0.0,0.999,3,26
10,0.0,0.999,4,47
10,0.0,0.999,5,85
10,0.0,0.999,6,140
10,0.0,0.999,7,219
10,0.0,0.999,8,277
10,0.0,0.999,9,297
10,0.0,0.999,10,232
10,0.0,0.999,11,146
10,0.0,0.999,12,77
10,0.0,0.999,13,30
10,0.0,0.999,14,15
10,0.0,0.999,15,6
10,0.0,0.999,16,1
10,0.0,0.999,17,2
10,0.0,0.999,18,0
10,0.0,0.999,19,0
10,0.0,0.999,20,0
10,0.0,0.999,21,0
10,0.0,0.999,22,0
10,0.0,0.999,23,0
10,0.0,0.999,24,0
10,0.0,0.999,25,0
10,0.0,0.999,26,0
10,0.0,0.999,27,0
10,0.0,0.999,28,0
10,0.0,0.999,29,0
10,0.0,0.999,30,0
