SimNum,P,Q,time,I
0,0.368,0.9194,0,2
0,0.368,0.9194,1,190
0,0.368,0.9194,2,1808
0,0.368,0.9194,3,0
1,0.368,0.9194,0,2
1,0.368,0.9194,1,198
1,0.368,0.9194,2,1800
1,0.368,0.9194,3,0
2,0.368,0.9194,0,2
2,0.368,0.9194,1,176
2,0.368,0.9194,2,1822
2,0.368,0.9194,3,0
3,0.368,0.9194,0,2
3,0.368,0.9194,1,194
3,0.368,0.9194,2,1804
3,0.368,0.9194,3,0
4,0.368,0.9194,0,2
4,0.368,0.9194,1,223
4,0.368,0.9194,2,1775
4,0.368,0.9194,3,0
5,0.368,0.9194,0,2
5,0.368,0.9194,1,196
5,0.368,0.9194,2,1801
5,0.368,0.9194,3,1
5,0.368,0.9194,4,0
6,0.368,0.9194,0,2
6,0.368,0.9194,1,198
6,0.368,0.9194,2,1799
6,0.368,0.9194,3,1
6,0.368,0.9194,4,0
7,0.368,0.9194,0,2
7,0.368,0.9194,1,206
7,0.368,0.9194,2,1792
7,0.368,0.9194,3,0
8,0.368,0.9194,0,2
8,0.368,0.9194,1,194
8,0.368,0.9194,2,1804
8,0.368,0.9194,3,0
9,0.368,0.9194,0,2
9,0.368,0.9194,1,200
9,0.368,0.9194,2,1798
9,0.368,0.9194,3,0
10,0.368,0.9194,0,2
10,0.368,0.9194,1,192
10,0.368,0.9194,2,1806
10,0.368,0.9194,3,0
11,0.368,0.9194,0,2
11,0.368,0.9194,1,186
11,0.368,0.9194,2,1812
11,0.368,0.9194,3,0
12,0.368,0.9194,0,2
12,0.368,0.9194,1,197
12,0.368,0.9194,2,1801
12,0.368,0.9194,3,0
13,0.368,0.9194,0,2
13,0.368,0.9194,1,210
13,0.368,0.9194,2,1788
13,0.368,0.9194,3,0
14,0.368,0.9194,0,2
14,0.368,0.9194,1,208
14,0.368,0.9194,2,1790
14,0.368,0.9194,3,0
15,0.368,0.9194,0,2
15,0.368,0.9194,1,197
15,0.368,0.9194,2,1801
15,0.368,0.9194,3,0
16,0.368,0.9194,0,2
16,0.368,0.9194,1,187
16,0.368,0.9194,2,1811
16,0.368,0.9194,3,0
17,0.368,0.9194,0,2
17,0.368,0.9194,1,215
17,0.368,0.9194,2,1783
17,0.368,0.9194,3,0
18,0.368,0.9194,0,2
18,0.368,0.9194,1,187
18,0.368,0.9194,2,1811
18,0.368,0.9194,3,0
19,0.368,0.9194,0,2
19,0.368,0.9194,1,169
19,0.368,0.9194,2,1829
19,0.368,0.9194,3,0
20,0.368,0.9194,0,2
20,0.368,0.9194,1,192
20,0.368,0.9194,2,1806
20,0.368,0.9194,3,0
21,0.368,0.9194,0,2
21,0.368,0.9194,1,218
21,0.368,0.9194,2,1780
21,0.368,0.9194,3,0
22,0.368,0.9194,0,2
22,0.368,0.9194,1,205
22,0.368,0.9194,2,1793
22,0.368,0.9194,3,0
23,0.368,0.9194,0,2
23,0.368,0.9194,1,204
23,0.368,0.9194,2,1794
23,0.368,0.9194,3,0
24,0.368,0.9194,0,2
24,0.368,0.9194,1,218
24,0.368,0.9194,2,1780
24,0.368,0.9194,3,0
25,0.368,0.9194,0,2
25,0.368,0.9194,1,194
25,0.368,0.9194,2,1804
25,0.368,0.9194,3,0
26,0.368,0.9194,0,2
26,0.368,0.9194,1,206
26,0.368,0.9194,2,1792
26,0.368,0.9194,3,0
27,0.368,0.9194,0,2
27,0.368,0.9194,1,209
27,0.368,0.9194,2,1789
27,0.368,0.9194,3,0
28,0.368,0.9194,0,2
28,0.368,0.9194,1,207
28,0.368,0.9194,2,1791
28,0.368,0.9194,3,0
29,0.368,0.9194,0,2
29,0.368,0.9194,1,193
29,0.368,0.9194,2,1805
29,0.368,0.9194,3,0
30,0.368,0.9194,0,2
30,0.368,0.9194,1,198
30,0.368,0.9194,2,1800
30,0.368,0.9194,3,0
31,0.368,0.9194,0,2
31,0.368,0.9194,1,214
31,0.368,0.9194,2,1784
31,0.368,0.9194,3,0
32,0.368,0.9194,0,2
32,0.368,0.9194,1,192
32,0.368,0.9194,2,1806
32,0.368,0.9194,3,0
33,0.368,0.9194,0,2
33,0.368,0.9194,1,197
33,0.368,0.9194,2,1801
33,0.368,0.9194,3,0
34,0.368,0.9194,0,2
34,0.368,0.9194,1,204
34,0.368,0.9194,2,1794
34,0.368,0.9194,3,0
35,0.368,0.9194,0,2
35,0.368,0.9194,1,193
35,0.368,0.9194,2,1805
35,0.368,0.9194,3,0
36,0.368,0.9194,0,2
36,0.368,0.9194,1,177
36,0.368,0.9194,2,1821
36,0.368,0.9194,3,0
37,0.368,0.9194,0,2
37,0.368,0.9194,1,180
