SimNum,P,Q,time,I
13,0.2,0.999,0,2
13,0.2,0.999,1,3
13,0.2,0.999,2,7
13,0.2,0.999,3,5
13,0.2,0.999,4,6
13,0.2,0.999,5,7
13,0.2,0.999,6,9
13,0.2,0.999,7,10
13,0.2,0.999,8,10
13,0.2,0.999,9,15
13,0.2,0.999,10,22
13,0.2,0.999,11,32
13,0.2,0.999,12,42
13,0.2,0.999,13,63
13,0.2,0.999,14,85
13,0.2,0.999,15,110
13,0.2,0.999,16,132
13,0.2,0.999,17,134
13,0.2,0.999,18,135
13,0.2,0.999,19,102
13,0.2,0.999,20,85
13,0.2,0.999,21,67
13,0.2,0.999,22,51
13,0.2,0.999,23,29
13,0.2,0.999,24,18
13,0.2,0.999,25,15
13,0.2,0.999,26,8
13,0.2,0.999,27,3
13,0.2,0.999,28,4
13,0.2,0.999,29,5
13,0.2,0.999,30,5
13,0.2,0.999,0,2
13,0.2,0.999,1,1
13,0.2,0.999,2,1
13,0.2,0.999,3,2
13,0.2,0.999,4,5
13,0.2,0.999,5,10
13,0.2,0.999,6,18
13,0.2,0.999,7,29
13,0.2,0.999,8,41
13,0.2,0.999,9,70
13,0.2,0.999,10,91
13,0.2,0.999,11,112
13,0.2,0.999,12,145
13,0.2,0.999,13,174
13,0.2,0.999,14,176
13,0.2,0.999,15,143
13,0.2,0.999,16,113
13,0.2,0.999,17,69
13,0.2,0.999,18,36
13,0.2,0.999,19,14
13,0.2,0.999,20,9
13,0.2,0.999,21,6
13,0.2,0.999,22,4
13,0.2,0.999,23,2
13,0.2,0.999,24,0
13,0.2,0.999,25,0
13,0.2,0.999,26,0
13,0.2,0.999,27,0
13,0.2,0.999,28,0
13,0.2,0.999,29,0
13,0.2,0.999,30,0
